"","formula","err"
"1","y~X19","39.5873644713921"
"2","y~X19+X4","22.9541728530721"
"3","y~X19+X4+X39","16.6328499761265"
"4","y~X19+X4+X39+X66","13.5280410406678"
"5","y~X19+X4+X39+X66+X10","12.3971683160114"
"6","y~X19+X4+X39+X66+X10+X31","11.1774555396399"
"7","y~X19+X4+X39+X66+X10+X31+X156","10.4896495714756"
"8","y~X19+X4+X39+X66+X10+X31+X156+X73","10.1127582756117"
"9","y~X19+X4+X39+X66+X10+X31+X156+X73+X45","9.3363579677631"
"10","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12","8.516055002867"
"11","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254","8.36040155494073"
"12","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102","8.31581016292866"
"13","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34","8.04983244924967"
"14","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57","7.80597884739909"
"15","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80","7.82829961606133"
"16","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5","7.71743465302714"
"17","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23","7.60671685558368"
"18","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233","7.51772942025478"
"19","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163","7.67303882773341"
"20","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179","7.67323548456724"
"21","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236","7.62869249368278"
"22","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158","7.6728910080734"
"23","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185","7.62859416526587"
"24","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144","7.67279246163339"
"25","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151","7.69501468385561"
"26","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162","7.67279246163339"
"27","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155","7.76163207730227"
"28","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170","7.76173040571918"
"29","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160","7.73975433157389"
"30","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18","7.80627339660364"
"31","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125","7.78410022957832"
"32","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123","7.71753210935166"
"33","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123+X130","7.71758138257167"
"34","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123+X130+X164","7.71748283613166"
"35","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123+X130+X164+X165","7.71748283613166"
"36","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123+X130+X164+X165+X124","7.7619272805761"
"37","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123+X130+X164+X165+X124+X129","7.71763065579167"
"38","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123+X130+X164+X165+X124+X129+X137","7.7399021512339"
"39","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123+X130+X164+X165+X124+X129+X137+X249","7.71763087381477"
"40","y~X19+X4+X39+X66+X10+X31+X156+X73+X45+X12+X254+X102+X34+X57+X80+X5+X23+X233+X163+X179+X236+X158+X185+X144+X151+X162+X155+X170+X160+X18+X125+X123+X130+X164+X165+X124+X129+X137+X249+X205","7.78419899404143"
"41",NA,NA
"42",NA,NA
"43",NA,NA
"44",NA,NA
"45",NA,NA
"46",NA,NA
"47",NA,NA
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",NA,NA
"52",NA,NA
"53",NA,NA
"54",NA,NA
"55",NA,NA
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",NA,NA
"62",NA,NA
"63",NA,NA
"64",NA,NA
"65",NA,NA
"66",NA,NA
"67",NA,NA
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",NA,NA
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
"205",NA,NA
"206",NA,NA
"207",NA,NA
"208",NA,NA
"209",NA,NA
"210",NA,NA
"211",NA,NA
"212",NA,NA
"213",NA,NA
"214",NA,NA
"215",NA,NA
"216",NA,NA
"217",NA,NA
"218",NA,NA
"219",NA,NA
"220",NA,NA
"221",NA,NA
"222",NA,NA
"223",NA,NA
"224",NA,NA
"225",NA,NA
"226",NA,NA
"227",NA,NA
"228",NA,NA
"229",NA,NA
"230",NA,NA
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",NA,NA
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",NA,NA
"241",NA,NA
"242",NA,NA
"243",NA,NA
"244",NA,NA
"245",NA,NA
"246",NA,NA
"247",NA,NA
"248",NA,NA
"249",NA,NA
"250",NA,NA
"251",NA,NA
"252",NA,NA
"253",NA,NA
"254",NA,NA
"255",NA,NA
"256",NA,NA
